study_hours,attendance,previous_scores,assignments_completed,sleep_hours,extracurricular,parental_support,internet_access,final_score,pass_fail
4.6,73.2,83.7,57.7,6.8,1,1,1,57.7,Pass
1.9,72.5,75.3,96.3,6.4,0,2,1,51.2,Pass
5.5,95.9,94.5,60.4,7.8,0,1,1,55.2,Pass
5.9,84.0,41.8,92.0,7.4,0,1,1,55.3,Pass
0.1,77.5,61.0,69.5,3.0,0,1,1,40.3,Pass
1.4,86.0,58.1,100.0,7.3,0,1,0,43.1,Pass
4.3,54.7,35.4,91.2,5.0,0,1,1,44.1,Pass
3.4,79.5,80.9,64.9,4.4,0,1,1,42.6,Pass
4.0,100.0,60.9,66.2,6.2,1,0,0,53.2,Pass
2.3,81.6,76.1,89.1,7.1,0,1,1,55.6,Pass
5.8,80.8,100.0,76.1,4.0,1,1,1,64.9,Pass
5.6,86.6,59.7,77.5,7.6,0,1,1,55.8,Pass
4.1,90.7,58.7,99.1,7.6,1,1,1,58.6,Pass
6.3,56.0,66.8,68.8,6.6,0,0,1,48.0,Pass
4.9,59.8,79.8,81.4,5.2,0,2,1,55.2,Pass
2.3,82.5,56.5,94.3,5.0,1,1,0,51.3,Pass
4.7,71.4,55.5,92.1,8.0,1,1,1,50.1,Pass
2.1,95.7,80.9,77.6,4.2,0,0,1,56.2,Pass
5.8,76.2,70.7,75.7,8.1,0,2,1,60.0,Pass
3.9,56.8,34.3,53.9,6.3,0,1,1,37.8,Fail
3.6,64.8,46.6,64.2,6.4,0,1,1,55.9,Pass
2.6,47.0,87.5,84.8,3.9,0,1,1,47.7,Pass
6.4,77.2,71.0,77.9,6.3,1,2,1,59.4,Pass
3.7,77.7,53.6,81.1,7.4,0,2,1,49.5,Pass
3.1,74.9,62.4,95.6,4.5,1,1,1,47.9,Pass
3.3,92.9,65.2,62.2,7.2,0,0,1,55.7,Pass
5.1,94.4,76.0,76.5,6.6,0,0,1,57.3,Pass
4.7,78.0,44.6,82.8,5.5,0,0,1,47.9,Pass
4.8,54.4,52.4,69.4,7.8,0,2,1,44.4,Pass
4.9,87.4,69.1,100.0,3.2,0,2,1,56.3,Pass
